minuto,time,tipo,jogador,assist,placar_momento,descricao,Resultado,Data,IdJogo
45+2,Mirassol,13,Clayson,,,"Clayson misses attempt (To the right, 18-yard box, Key pass, Right footed, From corner)",2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
45+2,Mirassol,16,Lucas Ramon,,2-1,"GOAL! Lucas Ramon scores , Assisted by Clayson (Low to the right, 18-yard box, Head, From corner)",2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
46,Cruzeiro,18,Walace,,,Walace is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
46,Cruzeiro,19,Lucas Romero,,,Lucas Romero is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
49,Cruzeiro,17,Lucas Romero,,,Lucas Romero recieves a yellow card,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
59,Mirassol,18,Everton Maceió,,,Everton Maceió is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
59,Mirassol,19,Edson Carioca,,,Edson Carioca is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
63,Mirassol,17,Reinaldo,,,Reinaldo recieves a yellow card,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
70,Cruzeiro,18,Kaio Jorge,,,Kaio Jorge is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
70,Cruzeiro,19,Matheus Pereira,,,Matheus Pereira is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
71,Mirassol,18,Neto Moura,,,Neto Moura is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
71,Mirassol,19,José Aldo,,,José Aldo is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
71,Mirassol,18,Iury Castilho,,,Iury Castilho is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
71,Mirassol,19,Fabrício Daniel,,,Fabrício Daniel is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
72,Cruzeiro,18,Wanderson,,,Wanderson is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
72,Cruzeiro,19,Lucas Silva,,,Lucas Silva is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
77,Mirassol,18,Chico,,,Chico is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
77,Mirassol,19,Matheus Davó,,,Matheus Davó is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
77,Mirassol,18,Clayson,,,Clayson is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
77,Mirassol,19,Luiz Filipe,,,Luiz Filipe is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
83,Cruzeiro,18,Dudu,,,Dudu is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
83,Cruzeiro,19,Marquinhos,,,Marquinhos is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
85,Mirassol,17,Edson Carioca,,,Edson Carioca recieves a yellow card,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
88,Mirassol,17,,,, recieves a yellow card,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
91,Cruzeiro,18,Gabriel Barbosa,,,Gabriel Barbosa is substituted off,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
91,Cruzeiro,19,Yannick Bolasie,,,Yannick Bolasie is substituted on,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
90+3,Cruzeiro,17,Cássio,,,Cássio recieves a yellow card,2-1,"Sat, 29-Mar-25",Cruzeiro x Mirassol
